ID,drug_category
501,Hallucinogens
502,Stimulants
503,Hallucinogens
504,Stimulants
505,Hallucinogens
506,Hallucinogens
507,Hallucinogens
508,Hallucinogens
509,Hallucinogens
510,Hallucinogens
511,Hallucinogens
512,Hallucinogens
513,Stimulants
514,Stimulants
515,Hallucinogens
516,Hallucinogens
517,Stimulants
518,Hallucinogens
519,Stimulants
520,Hallucinogens
521,Hallucinogens
522,Hallucinogens
523,Stimulants
524,Stimulants
525,Hallucinogens
526,Hallucinogens
527,Hallucinogens
528,Stimulants
529,Stimulants
530,Hallucinogens
531,Stimulants
532,Stimulants
533,Hallucinogens
534,Stimulants
535,Stimulants
536,Stimulants
537,Hallucinogens
538,Stimulants
539,Stimulants
540,Hallucinogens
541,Hallucinogens
542,Hallucinogens
543,Hallucinogens
544,Hallucinogens
545,Hallucinogens
546,Stimulants
547,Stimulants
548,Stimulants
549,Stimulants
550,Hallucinogens
551,Hallucinogens
552,Stimulants
553,Stimulants
554,Hallucinogens
555,Stimulants
556,Stimulants
557,Hallucinogens
558,Stimulants
559,Stimulants
560,Hallucinogens
561,Hallucinogens
562,Stimulants
563,Stimulants
564,Hallucinogens
565,Stimulants
566,Hallucinogens
567,Hallucinogens
568,Stimulants
569,Hallucinogens
570,Hallucinogens
571,Hallucinogens
572,Stimulants
573,Hallucinogens
574,Hallucinogens
575,Stimulants
576,Hallucinogens
577,Hallucinogens
578,Hallucinogens
579,Hallucinogens
580,Hallucinogens
581,Hallucinogens
582,Stimulants
583,Hallucinogens
584,Hallucinogens
585,Hallucinogens
586,Hallucinogens
587,Stimulants
588,Stimulants
589,Stimulants
590,Stimulants
591,Stimulants
592,Stimulants
593,Hallucinogens
594,Hallucinogens
595,Hallucinogens
596,Hallucinogens
597,Stimulants
598,Stimulants
599,Hallucinogens
600,Stimulants
601,Stimulants
602,Hallucinogens
603,Stimulants
604,Stimulants
605,Hallucinogens
606,Hallucinogens
607,Hallucinogens
608,Hallucinogens
609,Stimulants
610,Hallucinogens
611,Hallucinogens
612,Stimulants
613,Hallucinogens
614,Hallucinogens
615,Stimulants
616,Stimulants
617,Hallucinogens
618,Depressants
619,Stimulants
620,Depressants
621,Hallucinogens
622,Hallucinogens
623,Stimulants
624,Stimulants
625,Hallucinogens
626,Hallucinogens
627,Depressants
628,Stimulants
629,Hallucinogens
630,Hallucinogens
631,Hallucinogens
632,Hallucinogens
633,Stimulants
634,Hallucinogens
635,Stimulants
636,Stimulants
637,Stimulants
638,Hallucinogens
639,Hallucinogens
640,Stimulants
641,Hallucinogens
642,Stimulants
643,Hallucinogens
644,Hallucinogens
645,Depressants
646,Stimulants
647,Hallucinogens
648,Hallucinogens
649,Hallucinogens
650,Stimulants
651,Hallucinogens
652,Hallucinogens
653,Hallucinogens
654,Hallucinogens
655,Hallucinogens
656,Hallucinogens
657,Stimulants
658,Hallucinogens
659,Hallucinogens
660,Stimulants
661,Hallucinogens
662,Hallucinogens
663,Hallucinogens
664,Hallucinogens
665,Hallucinogens
666,Stimulants
667,Hallucinogens
668,Hallucinogens
669,Hallucinogens
670,Stimulants
671,Hallucinogens
672,Stimulants
673,Hallucinogens
674,Stimulants
675,Stimulants
676,Stimulants
677,Hallucinogens
678,Depressants
679,Hallucinogens
680,Hallucinogens
681,Hallucinogens
682,Hallucinogens
683,Hallucinogens
684,Hallucinogens
685,Stimulants
686,Stimulants
687,Hallucinogens
688,Depressants
689,Hallucinogens
690,Hallucinogens
691,Hallucinogens
692,Hallucinogens
693,Stimulants
694,Stimulants
695,Hallucinogens
696,Hallucinogens
697,Hallucinogens
698,Hallucinogens
699,Depressants
700,Hallucinogens
701,Hallucinogens
702,Hallucinogens
703,Stimulants
704,Stimulants
705,Stimulants
706,Stimulants
707,Hallucinogens
708,Hallucinogens
709,Hallucinogens
710,Hallucinogens
711,Hallucinogens
712,Hallucinogens
713,Stimulants
714,Hallucinogens
715,Hallucinogens
716,Hallucinogens
717,Stimulants
718,Stimulants
719,Hallucinogens
720,Hallucinogens
721,Hallucinogens
722,Stimulants
723,Hallucinogens
724,Hallucinogens
725,Stimulants
726,Stimulants
727,Stimulants
728,Hallucinogens
729,Hallucinogens
730,Hallucinogens
731,Stimulants
732,Stimulants
733,Stimulants
734,Hallucinogens
735,Stimulants
736,Hallucinogens
737,Hallucinogens
738,Stimulants
739,Hallucinogens
740,Hallucinogens
741,Hallucinogens
742,Hallucinogens
743,Hallucinogens
744,Stimulants
745,Stimulants
746,Stimulants
747,Hallucinogens
748,Hallucinogens
749,Stimulants
750,Stimulants
751,Depressants
752,Hallucinogens
753,Stimulants
754,Stimulants
755,Hallucinogens
756,Hallucinogens
757,Stimulants
758,Hallucinogens
759,Hallucinogens
760,Hallucinogens
761,Stimulants
762,Hallucinogens
763,Hallucinogens
764,Hallucinogens
765,Stimulants
766,Hallucinogens
767,Hallucinogens
768,Stimulants
769,Hallucinogens
770,Stimulants
771,Hallucinogens
772,Hallucinogens
773,Hallucinogens
774,Hallucinogens
775,Stimulants
776,Hallucinogens
777,Depressants
778,Stimulants
779,Stimulants
780,Hallucinogens
781,Stimulants
782,Stimulants
783,Stimulants
784,Stimulants
785,Hallucinogens
786,Hallucinogens
787,Hallucinogens
788,Hallucinogens
789,Stimulants
790,Stimulants
791,Hallucinogens
792,Hallucinogens
793,Stimulants
794,Hallucinogens
795,Stimulants
796,Hallucinogens
797,Hallucinogens
798,Stimulants
799,Stimulants
800,Depressants
801,Stimulants
802,Hallucinogens
803,Stimulants
804,Hallucinogens
805,Stimulants
806,Hallucinogens
807,Depressants
808,Hallucinogens
809,Hallucinogens
810,Hallucinogens
811,Hallucinogens
812,Hallucinogens
813,Stimulants
814,Stimulants
815,Stimulants
816,Hallucinogens
817,Stimulants
818,Hallucinogens
819,Hallucinogens
820,Stimulants
821,Stimulants
822,Hallucinogens
823,Hallucinogens
824,Stimulants
825,Hallucinogens
826,Hallucinogens
827,Hallucinogens
828,Stimulants
829,Hallucinogens
830,Stimulants
831,Depressants
832,Hallucinogens
833,Stimulants
834,Hallucinogens
835,Hallucinogens
836,Hallucinogens
837,Hallucinogens
838,Hallucinogens
839,Hallucinogens
840,Stimulants
841,Hallucinogens
842,Hallucinogens
843,Stimulants
844,Hallucinogens
845,Stimulants
846,Hallucinogens
847,Hallucinogens
848,Stimulants
849,Hallucinogens
850,Hallucinogens
851,Hallucinogens
852,Stimulants
853,Stimulants
854,Stimulants
855,Stimulants
856,Stimulants
857,Hallucinogens
858,Hallucinogens
859,Hallucinogens
860,Stimulants
861,Hallucinogens
862,Stimulants
863,Depressants
864,Depressants
865,Stimulants
866,Hallucinogens
867,Hallucinogens
868,Hallucinogens
869,Hallucinogens
870,Stimulants
871,Hallucinogens
872,Hallucinogens
873,Hallucinogens
874,Hallucinogens
875,Stimulants
876,Stimulants
877,Hallucinogens
